No,Class Name, Parent
249,Movie,"Thing,CreativeWork,"
250,MusicComposition,"Thing,CreativeWork,"
251,MusicAlbum,"Thing,CreativeWork,MusicPlaylist,"
252,MusicRelease,"Thing,CreativeWork,MusicPlaylist,"
253,MusicRecording,"Thing,CreativeWork,"
254,Painting,"Thing,CreativeWork,"
255,Photograph,"Thing,CreativeWork,"
256,PublicationVolume,"Thing,CreativeWork,"
257,Question,"Thing,CreativeWork,"
258,ClaimReview,"Thing,CreativeWork,Review,"
259,Sculpture,"Thing,CreativeWork,"
260,Series,"Thing,CreativeWork,"
261,MobileApplication,"Thing,CreativeWork,SoftwareApplication,"
262,VideoGame,"Thing,CreativeWork,SoftwareApplication,"
263,WebApplication,"Thing,CreativeWork,SoftwareApplication,"
264,SoftwareSourceCode,"Thing,CreativeWork,"
265,TVSeason,"Thing,CreativeWork,"
266,TVSeries,"Thing,CreativeWork,"
267,AboutPage,"Thing,CreativeWork,WebPage,"
268,CheckoutPage,"Thing,CreativeWork,WebPage,"
269,ImageGallery,"Thing,CreativeWork,WebPage,CollectionPage,"
270,VideoGallery,"Thing,CreativeWork,WebPage,CollectionPage,"
271,ContactPage,"Thing,CreativeWork,WebPage,"
272,ItemPage,"Thing,CreativeWork,WebPage,"
273,ProfilePage,"Thing,CreativeWork,WebPage,"
274,QAPage,"Thing,CreativeWork,WebPage,"
275,SearchResultsPage,"Thing,CreativeWork,WebPage,"
276,SiteNavigationElement,"Thing,CreativeWork,WebPageElement,"
277,Table,"Thing,CreativeWork,WebPageElement,"
278,WPAdBlock,"Thing,CreativeWork,WebPageElement,"
279,WPFooter,"Thing,CreativeWork,WebPageElement,"
280,WPHeader,"Thing,CreativeWork,WebPageElement,"
281,WPSideBar,"Thing,CreativeWork,WebPageElement,"
282,WebSite,"Thing,CreativeWork,"
283,BusinessEvent,"Thing,Event,"
284,ChildrensEvent,"Thing,Event,"
285,ComedyEvent,"Thing,Event,"
286,CourseInstance,"Thing,Event,"
287,DanceEvent,"Thing,Event,"
288,DeliveryEvent,"Thing,Event,"
289,EducationEvent,"Thing,Event,"
290,ExhibitionEvent,"Thing,Event,"
291,Festival,"Thing,Event,"
292,FoodEvent,"Thing,Event,"
293,LiteraryEvent,"Thing,Event,"
294,MusicEvent,"Thing,Event,"
295,BroadcastEvent,"Thing,Event,PublicationEvent,"
296,OnDemandEvent,"Thing,Event,PublicationEvent,"
297,SaleEvent,"Thing,Event,"
298,ScreeningEvent,"Thing,Event,"
299,SocialEvent,"Thing,Event,"
300,SportsEvent,"Thing,Event,"
301,TheaterEvent,"Thing,Event,"
302,VisualArtsEvent,"Thing,Event,"
303,AlignmentObject,"Thing,Intangible,"
304,BusinessAudience,"Thing,Intangible,Audience,"
305,EducationalAudience,"Thing,Intangible,Audience,"
306,ParentAudience,"Thing,Intangible,Audience,PeopleAudience,"
307,BedDetails,"Thing,Intangible,"
308,Brand,"Thing,Intangible,"
309,TelevisionChannel,"Thing,Intangible,BroadcastChannel,"
310,BusTrip,"Thing,Intangible,"
311,ComputerLanguage,"Thing,Intangible,"
312,DataFeedItem,"Thing,Intangible,"
313,Demand,"Thing,Intangible,"
314,DigitalDocumentPermission,"Thing,Intangible,"
315,EntryPoint,"Thing,Intangible,"
316,ActionStatusType,"Thing,Intangible,Enumeration,"
317,BoardingPolicyType,"Thing,Intangible,Enumeration,"
318,BookFormatType,"Thing,Intangible,Enumeration,"
319,BusinessEntityType,"Thing,Intangible,Enumeration,"
320,BusinessFunction,"Thing,Intangible,Enumeration,"
321,ContactPointOption,"Thing,Intangible,Enumeration,"
322,DayOfWeek,"Thing,Intangible,Enumeration,"
323,LockerDelivery,"Thing,Intangible,Enumeration,DeliveryMethod,"
324,ParcelService,"Thing,Intangible,Enumeration,DeliveryMethod,"
325,DigitalDocumentPermissionType,"Thing,Intangible,Enumeration,"
326,EventStatusType,"Thing,Intangible,Enumeration,"
327,GamePlayMode,"Thing,Intangible,Enumeration,"
328,GameServerStatus,"Thing,Intangible,Enumeration,"
329,GenderType,"Thing,Intangible,Enumeration,"
330,ItemAvailability,"Thing,Intangible,Enumeration,"
331,ItemListOrderType,"Thing,Intangible,Enumeration,"
332,MapCategoryType,"Thing,Intangible,Enumeration,"
333,MusicAlbumProductionType,"Thing,Intangible,Enumeration,"
334,MusicAlbumReleaseType,"Thing,Intangible,Enumeration,"
335,MusicReleaseFormatType,"Thing,Intangible,Enumeration,"
336,OfferItemCondition,"Thing,Intangible,Enumeration,"
337,OrderStatus,"Thing,Intangible,Enumeration,"
338,CreditCard,"Thing,Intangible,Enumeration,PaymentMethod,PaymentCard,"
339,PaymentStatusType,"Thing,Intangible,Enumeration,"
340,DriveWheelConfigurationValue,"Thing,Intangible,Enumeration,QualitativeValue,"
341,SteeringPositionValue,"Thing,Intangible,Enumeration,QualitativeValue,"
342,ReservationStatusType,"Thing,Intangible,Enumeration,"
343,RestrictedDiet,"Thing,Intangible,Enumeration,"
344,RsvpResponseType,"Thing,Intangible,Enumeration,"
345,WarrantyScope,"Thing,Intangible,Enumeration,"
346,Flight,"Thing,Intangible,"
347,GameServer,"Thing,Intangible,"
348,Invoice,"Thing,Intangible,"
349,BreadcrumbList,"Thing,Intangible,ItemList,"
350,HowToSection,"Thing,Intangible,ItemList,"
351,HowToStep,"Thing,Intangible,ItemList,"
352,OfferCatalog,"Thing,Intangible,ItemList,"
353,JobPosting,"Thing,Intangible,"
354,Language,"Thing,Intangible,"
355,HowToDirection,"Thing,Intangible,ListItem,"
356,HowToSupply,"Thing,Intangible,ListItem,HowToItem,"
357,HowToTool,"Thing,Intangible,ListItem,HowToItem,"
358,HowToStep,"Thing,Intangible,ListItem,"
359,HowToTip,"Thing,Intangible,ListItem,"
360,MenuItem,"Thing,Intangible,"
361,AggregateOffer,"Thing,Intangible,Offer,"
362,Order,"Thing,Intangible,"
363,OrderItem,"Thing,Intangible,"
364,ParcelDelivery,"Thing,Intangible,"
365,GovernmentPermit,"Thing,Intangible,Permit,"
366,ProgramMembership,"Thing,Intangible,"
367,PropertyValueSpecification,"Thing,Intangible,"
368,Distance,"Thing,Intangible,Quantity,"
369,Duration,"Thing,Intangible,Quantity,"
370,Energy,"Thing,Intangible,Quantity,"
371,Mass,"Thing,Intangible,Quantity,"
372,BusReservation,"Thing,Intangible,Reservation,"
373,EventReservation,"Thing,Intangible,Reservation,"
374,FlightReservation,"Thing,Intangible,Reservation,"
375,FoodEstablishmentReservation,"Thing,Intangible,Reservation,"
376,LodgingReservation,"Thing,Intangible,Reservation,"
377,RentalCarReservation,"Thing,Intangible,Reservation,"
378,ReservationPackage,"Thing,Intangible,Reservation,"
379,TaxiReservation,"Thing,Intangible,Reservation,"
380,TrainReservation,"Thing,Intangible,Reservation,"
381,EmployeeRole,"Thing,Intangible,Role,OrganizationRole,"
382,PerformanceRole,"Thing,Intangible,Role,"
383,Seat,"Thing,Intangible,"
384,BroadcastService,"Thing,Intangible,Service,"
385,CableOrSatelliteService,"Thing,Intangible,Service,"
386,DepositAccount,"Thing,Intangible,Service,FinancialProduct,BankAccount,"
387,CurrencyConversionService,"Thing,Intangible,Service,FinancialProduct,"
388,DepositAccount,"Thing,Intangible,Service,FinancialProduct,InvestmentOrDeposit,"
389,CreditCard,"Thing,Intangible,Service,FinancialProduct,LoanOrCredit,"
390,PaymentService,"Thing,Intangible,Service,FinancialProduct,"
391,FoodService,"Thing,Intangible,Service,"
392,GovernmentService,"Thing,Intangible,Service,"
393,TaxiService,"Thing,Intangible,Service,"
394,ServiceChannel,"Thing,Intangible,"
395,PostalAddress,"Thing,Intangible,StructuredValue,ContactPoint,"
396,EngineSpecification,"Thing,Intangible,StructuredValue,"
397,GeoCoordinates,"Thing,Intangible,StructuredValue,"
398,GeoCircle,"Thing,Intangible,StructuredValue,GeoShape,"
399,InteractionCounter,"Thing,Intangible,StructuredValue,"
400,MonetaryAmount,"Thing,Intangible,StructuredValue,"
401,NutritionInformation,"Thing,Intangible,StructuredValue,"
402,OpeningHoursSpecification,"Thing,Intangible,StructuredValue,"
403,OwnershipInfo,"Thing,Intangible,StructuredValue,"
404,CompoundPriceSpecification,"Thing,Intangible,StructuredValue,PriceSpecification,"
405,DeliveryChargeSpecification,"Thing,Intangible,StructuredValue,PriceSpecification,"
406,PaymentChargeSpecification,"Thing,Intangible,StructuredValue,PriceSpecification,"
407,UnitPriceSpecification,"Thing,Intangible,StructuredValue,PriceSpecification,"
408,LocationFeatureSpecification,"Thing,Intangible,StructuredValue,PropertyValue,"
409,TypeAndQuantityNode,"Thing,Intangible,StructuredValue,"
410,WarrantyPromise,"Thing,Intangible,StructuredValue,"
411,Ticket,"Thing,Intangible,"
412,TrainTrip,"Thing,Intangible,"
413,Airline,"Thing,Organization,"
414,Corporation,"Thing,Organization,"
415,CollegeOrUniversity,"Thing,Organization,EducationalOrganization,"
416,ElementarySchool,"Thing,Organization,EducationalOrganization,"
417,HighSchool,"Thing,Organization,EducationalOrganization,"
418,MiddleSchool,"Thing,Organization,EducationalOrganization,"
419,Preschool,"Thing,Organization,EducationalOrganization,"
420,School,"Thing,Organization,EducationalOrganization,"
421,GovernmentOrganization,"Thing,Organization,"
422,AnimalShelter,"Thing,Organization,LocalBusiness,"
423,AutoBodyShop,"Thing,Organization,LocalBusiness,AutomotiveBusiness,"
424,AutoDealer,"Thing,Organization,LocalBusiness,AutomotiveBusiness,"
425,AutoPartsStore,"Thing,Organization,LocalBusiness,AutomotiveBusiness,"
426,AutoRental,"Thing,Organization,LocalBusiness,AutomotiveBusiness,"
427,AutoRepair,"Thing,Organization,LocalBusiness,AutomotiveBusiness,"
428,AutoWash,"Thing,Organization,LocalBusiness,AutomotiveBusiness,"
429,GasStation,"Thing,Organization,LocalBusiness,AutomotiveBusiness,"
430,MotorcycleDealer,"Thing,Organization,LocalBusiness,AutomotiveBusiness,"
431,MotorcycleRepair,"Thing,Organization,LocalBusiness,AutomotiveBusiness,"
432,ChildCare,"Thing,Organization,LocalBusiness,"
433,Dentist,"Thing,Organization,LocalBusiness,"
434,DryCleaningOrLaundry,"Thing,Organization,LocalBusiness,"
435,FireStation,"Thing,Organization,LocalBusiness,EmergencyService,"
436,Hospital,"Thing,Organization,LocalBusiness,EmergencyService,"
437,PoliceStation,"Thing,Organization,LocalBusiness,EmergencyService,"
438,EmploymentAgency,"Thing,Organization,LocalBusiness,"
439,AdultEntertainment,"Thing,Organization,LocalBusiness,EntertainmentBusiness,"
440,AmusementPark,"Thing,Organization,LocalBusiness,EntertainmentBusiness,"
441,ArtGallery,"Thing,Organization,LocalBusiness,EntertainmentBusiness,"
442,Casino,"Thing,Organization,LocalBusiness,EntertainmentBusiness,"
443,ComedyClub,"Thing,Organization,LocalBusiness,EntertainmentBusiness,"
444,MovieTheater,"Thing,Organization,LocalBusiness,EntertainmentBusiness,"
445,NightClub,"Thing,Organization,LocalBusiness,EntertainmentBusiness,"
446,AccountingService,"Thing,Organization,LocalBusiness,FinancialService,"
447,AutomatedTeller,"Thing,Organization,LocalBusiness,FinancialService,"
448,BankOrCreditUnion,"Thing,Organization,LocalBusiness,FinancialService,"
449,InsuranceAgency,"Thing,Organization,LocalBusiness,FinancialService,"
450,Bakery,"Thing,Organization,LocalBusiness,FoodEstablishment,"
451,BarOrPub,"Thing,Organization,LocalBusiness,FoodEstablishment,"
452,Brewery,"Thing,Organization,LocalBusiness,FoodEstablishment,"
453,CafeOrCoffeeShop,"Thing,Organization,LocalBusiness,FoodEstablishment,"
454,FastFoodRestaurant,"Thing,Organization,LocalBusiness,FoodEstablishment,"
455,IceCreamShop,"Thing,Organization,LocalBusiness,FoodEstablishment,"
456,Restaurant,"Thing,Organization,LocalBusiness,FoodEstablishment,"
457,Winery,"Thing,Organization,LocalBusiness,FoodEstablishment,"
458,PostOffice,"Thing,Organization,LocalBusiness,GovernmentOffice,"
459,BeautySalon,"Thing,Organization,LocalBusiness,HealthAndBeautyBusiness,"
460,DaySpa,"Thing,Organization,LocalBusiness,HealthAndBeautyBusiness,"
461,HairSalon,"Thing,Organization,LocalBusiness,HealthAndBeautyBusiness,"
462,HealthClub,"Thing,Organization,LocalBusiness,HealthAndBeautyBusiness,"
463,NailSalon,"Thing,Organization,LocalBusiness,HealthAndBeautyBusiness,"
464,TattooParlor,"Thing,Organization,LocalBusiness,HealthAndBeautyBusiness,"
465,Electrician,"Thing,Organization,LocalBusiness,HomeAndConstructionBusiness,"
466,GeneralContractor,"Thing,Organization,LocalBusiness,HomeAndConstructionBusiness,"
467,HVACBusiness,"Thing,Organization,LocalBusiness,HomeAndConstructionBusiness,"
468,HousePainter,"Thing,Organization,LocalBusiness,HomeAndConstructionBusiness,"
469,Locksmith,"Thing,Organization,LocalBusiness,HomeAndConstructionBusiness,"
470,MovingCompany,"Thing,Organization,LocalBusiness,HomeAndConstructionBusiness,"
471,Plumber,"Thing,Organization,LocalBusiness,HomeAndConstructionBusiness,"
472,RoofingContractor,"Thing,Organization,LocalBusiness,HomeAndConstructionBusiness,"
473,InternetCafe,"Thing,Organization,LocalBusiness,"
474,Attorney,"Thing,Organization,LocalBusiness,LegalService,"
475,Notary,"Thing,Organization,LocalBusiness,LegalService,"
476,Library,"Thing,Organization,LocalBusiness,"
477,BedAndBreakfast,"Thing,Organization,LocalBusiness,LodgingBusiness,"
478,Campground,"Thing,Organization,LocalBusiness,LodgingBusiness,"
479,Hostel,"Thing,Organization,LocalBusiness,LodgingBusiness,"
480,Hotel,"Thing,Organization,LocalBusiness,LodgingBusiness,"
481,Motel,"Thing,Organization,LocalBusiness,LodgingBusiness,"
